img,id_poroto,area_mm2,perimetro_mm,eje_mayor_mm,eje_menor_mm,cx_px,cy_px,RGB_dom,HSV_dom,proportion_dom,area_px_dom,image_path,RGB_lote,HSV_lote,area_px_lote
PL02_2.TIF,1,387.0748306875,104.88721763011776,28.433218811178858,20.119587658228816,727.0984012146498,1708.462436747843,"(48, 7, 8)","(179, 218, 48)",0.5249089142895835,383979,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_2.TIF,"(93, 60, 50)","(7, 118, 93)",383979
PL02_2.TIF,2,187.66696337500002,54.732526103231045,20.315417229652013,11.866872799663263,868.7275925786663,739.1209135932447,"(80, 19, 9)","(4, 226, 80)",0.5751211284552497,186166,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_2.TIF,"(116, 70, 52)","(8, 141, 116)",186166
PL02_2.TIF,3,231.21828756250002,61.21294391892286,22.73569779458749,13.129435797510661,1597.7997549799668,2297.175036731206,"(59, 12, 11)","(1, 207, 59)",0.6685341087941264,229369,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_2.TIF,"(91, 53, 44)","(6, 132, 91)",229369
PL02_2.TIF,4,250.5589746875,64.35845032194959,24.309214942553684,13.313733842201655,2192.992323630585,291.7287924201887,"(77, 10, 4)","(2, 242, 77)",0.6880167367383476,248555,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_2.TIF,"(87, 27, 19)","(4, 199, 87)",248555
PL02_2.TIF,5,169.27687918750001,51.92389269470903,19.055756100625224,11.396255031782129,2198.1310183834257,1395.389065226324,"(76, 23, 14)","(4, 208, 76)",0.4402970409056532,167923,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_2.TIF,"(125, 87, 62)","(12, 129, 125)",167923
PL02_2.TIF,6,299.15565168750004,71.09209386253134,27.01543096190076,14.410466001331994,2497.283913425865,2543.6016046474797,"(182, 171, 149)","(20, 46, 182)",0.44551039044624835,296763,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_2.TIF,"(119, 98, 86)","(11, 71, 119)",296763
PL02_2.TIF,7,192.97945275,55.28697593405651,20.265326237937938,12.296466559100098,3202.1784408366243,1312.2065337763013,"(64, 6, 4)","(1, 239, 64)",0.6597515867901377,191436,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_2.TIF,"(81, 31, 25)","(3, 176, 81)",191436
PL02_2.TIF,8,202.7848766875,56.75385800558166,20.929642952483057,12.474179027966759,3469.5784513056574,2491.595785507275,"(36, 5, 9)","(176, 220, 36)",0.6500549305786849,201163,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_2.TIF,"(59, 33, 30)","(3, 125, 59)",201163
PL02_2.TIF,9,202.64374793750002,57.20551435221688,21.1726454506108,12.380838861347845,3499.365007984161,1563.1963208190107,"(68, 12, 9)","(2, 221, 68)",0.5449806604186009,201023,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_2.TIF,"(97, 53, 44)","(5, 139, 97)",201023
PL02_2.TIF,10,206.1134990625,57.0790618473977,20.91318810681298,12.635604778698559,3888.35865796102,798.5359890445798,"(72, 11, 5)","(3, 237, 72)",0.6742620986476903,204465,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_2.TIF,"(83, 30, 21)","(4, 190, 83)",204465
PL02_2.TIF,11,236.45214806250002,61.737446592916584,23.134421541350733,13.130064976899464,4048.4663946691903,2058.754029868563,"(75, 15, 7)","(4, 231, 75)",0.6116745750572345,234561,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_2.TIF,"(87, 33, 22)","(5, 191, 87)",234561
PL03_1.TIF,1,137.71343425,45.771322261415015,16.05758006971823,10.994691587971305,1054.466774514684,1240.4030099844815,"(17, 0, 3)","(175, 255, 17)",0.6808406289345006,136612,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL03_1.TIF,"(25, 8, 12)","(173, 173, 25)",136612
PL03_1.TIF,2,156.10855875000001,49.3201659147798,16.44108642403942,12.2965779268405,2255.538957768307,1833.0085109130828,"(59, 24, 24)","(0, 151, 59)",0.4552305308020147,154860,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL03_1.TIF,"(56, 22, 23)","(179, 155, 56)",154860
PL03_1.TIF,3,137.1529515,50.80774275110054,15.50056972142755,11.407509795956873,2313.8294746280944,728.1538484153584,"(8, 0, 3)","(169, 255, 8)",0.7351458223084613,136056,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL03_1.TIF,"(15, 8, 11)","(167, 119, 15)",136056
PL03_1.TIF,4,158.9885933125,51.42336975659584,17.003511185577892,12.080203481192198,3558.345321049728,1175.8693292416162,"(8, 0, 3)","(169, 255, 8)",0.6991193086350869,157717,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL03_1.TIF,"(17, 10, 12)","(171, 105, 17)",157717
PL03_1.TIF,5,111.43022068750001,40.7038596245361,13.859857663294306,10.291295026706628,3627.275359827753,2465.314115380092,"(41, 3, 7)","(177, 236, 41)",0.5659088647445698,110539,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL03_1.TIF,"(39, 11, 15)","(176, 183, 39)",110539
PL03_2.TIF,1,156.66904150000002,49.145300378341105,16.47927828028196,12.307884324049857,1645.692695732743,2132.1586966592886,"(59, 25, 24)","(1, 151, 59)",0.43447907551346066,155416,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL03_2.TIF,"(56, 23, 23)","(0, 150, 56)",155416
PL03_2.TIF,2,137.11565318750002,50.62471981298735,15.56554846959939,11.367408553249644,2038.159220403032,603.8570787904631,"(8, 0, 3)","(169, 255, 8)",0.7181570221807247,136019,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL03_2.TIF,"(16, 9, 12)","(167, 112, 16)",136019
PL03_2.TIF,3,270.6032894375,86.2581525448112,27.752420652094706,13.919009996284874,3178.7519026669,2271.5795543866575,"(9, 1, 5)","(165, 227, 9)",0.48924336627688225,268439,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL03_2.TIF,"(26, 11, 14)","(174, 147, 26)",268439
PL03_2.TIF,4,139.6852045,46.196996762091125,16.01578850002884,11.194506947125022,3207.6055438485078,1091.7250086600081,"(12, 0, 2)","(175, 255, 12)",0.446784250331967,138568,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL03_2.TIF,"(26, 10, 13)","(174, 157, 26)",138568
PL04_1.TIF,1,124.7749520625,43.08604425727196,14.787706723370333,10.79293151682718,1375.7132100471008,2111.097756449098,"(217, 202, 179)","(18, 45, 217)",0.5736203010252309,123777,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL04_1.TIF,"(201, 188, 166)","(19, 44, 201)",123777
PL04_1.TIF,2,103.76491343750001,39.96706719538514,14.681725302916531,9.065674169824485,1574.6830232671102,457.1870403652791,"(208, 202, 189)","(21, 23, 208)",0.4893185019672609,102935,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL04_1.TIF,"(187, 182, 171)","(21, 22, 187)",102935
PL04_1.TIF,3,134.61767431250001,44.67190177172948,15.176300952440908,11.365475384032628,2676.898615406504,2018.926584344883,"(219, 206, 185)","(19, 40, 219)",0.6467227293490388,133541,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL04_1.TIF,"(203, 192, 171)","(20, 40, 203)",133541
PL04_1.TIF,4,105.719546625,39.644827609402455,13.805132577927903,9.77917431750572,3635.175191181799,806.4843431165017,"(214, 200, 177)","(19, 44, 214)",0.57879932109007,104874,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL04_1.TIF,"(195, 182, 161)","(19, 44, 195)",104874
PL04_1.TIF,5,107.3052289375,40.20543273182384,13.24119437193555,10.387251849337336,3856.494856595301,2499.0211842513177,"(216, 203, 183)","(18, 39, 216)",0.6192753201123564,106447,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL04_1.TIF,"(199, 187, 168)","(18, 40, 199)",106447
PL04_2.TIF,1,105.60563556250001,39.688633899646156,13.194202478785233,10.25689909323671,2131.635455942574,952.1227078779317,"(214, 201, 179)","(19, 42, 214)",0.601998835444488,104761,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL04_2.TIF,"(196, 184, 163)","(19, 43, 196)",104761
PL04_2.TIF,2,103.483664,40.17935695054238,14.665767427787024,9.056002146714555,2275.9429064058604,2458.6199247973814,"(211, 203, 189)","(19, 27, 211)",0.5153141394973425,102656,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL04_2.TIF,"(193, 186, 173)","(20, 26, 193)",102656
